Fecha,holgura_ventana,pop_size,n_gen,max_camiones,cap_multiplicador,Funcion_Objetivo,Entregas_A_Tiempo_Pct,Vehiculos_Usados,Tardanza_Promedio,Factible,Tiempo_Computo_Min,Clientes_Atendidos,Clientes_No_Atendidos
2026-12-02,0.0,50,1000,15,1.0,0.0,0.0,0.0,0.0,No,0.27,0,14
2026-12-03,0.0,50,1000,15,1.0,2033534.7,100.0,12.0,0.0,Sí,10.31,52,33
2026-12-04,0.0,50,1000,15,1.0,162033966.29,100.0,15.0,0.0,Sí,130.99,81,26
2026-12-05,0.0,50,1000,15,1.0,54542302.51,100.0,15.0,0.0,Sí,7.42,63,55
2026-12-06,0.0,50,1000,15,1.0,34135111.99,100.0,15.0,0.0,Sí,7.51,87,28
2026-12-07,0.0,50,1000,15,1.0,97372684.47,100.0,15.0,0.0,Sí,8.48,95,20
2026-12-08,0.0,50,1000,15,1.0,149496214.67,100.0,15.0,0.0,Sí,9.17,112,28
2026-12-09,0.0,50,1000,15,1.0,57268504.26,100.0,15.0,0.0,Sí,7.71,92,16
2026-12-10,0.0,50,1000,15,1.0,158133003.55,100.0,15.0,0.0,Sí,10.15,115,21
2026-12-11,0.0,50,1000,15,1.0,571171.19,100.0,4.0,0.0,Sí,8.75,15,85
2026-12-12,0.0,50,1000,15,1.0,37274815.35,100.0,15.0,0.0,Sí,8.8,71,63
2026-12-13,0.0,50,1000,15,1.0,2165065.18,100.0,15.0,0.0,Sí,11.88,77,76
2026-12-15,0.0,50,1000,15,1.0,1555937.53,100.0,9.0,0.0,Sí,10.58,43,91
2026-12-17,0.0,50,1000,15,1.0,101866421.77,100.0,15.0,0.0,Sí,8.58,103,63
2026-12-18,0.0,50,1000,15,1.0,72257430.46,100.0,15.0,0.0,Sí,9.36,133,48
2026-12-19,0.0,50,1000,15,1.0,71942996.39,100.0,15.0,0.0,Sí,8.94,109,36
2026-12-20,0.0,50,1000,15,1.0,122015508.48,100.0,15.0,0.0,Sí,142.9,99,15
2026-12-02,30.0,100,2000,20,1.0,0.0,0.0,0.0,0.0,No,0.27,0,14
2026-12-03,30.0,100,2000,20,1.0,1328861.14,100.0,10.0,0.0,Sí,33.45,47,38
2026-12-04,30.0,100,2000,20,1.0,133666695.92,100.0,20.0,0.0,Sí,29.78,84,23
2026-12-05,30.0,100,2000,20,1.0,34159735.28,100.0,17.0,0.0,Sí,24.99,93,25
2026-12-06,30.0,100,2000,20,1.0,33733977.87,100.0,18.0,0.0,Sí,21.76,91,24
2026-12-07,30.0,100,2000,20,1.0,52973610.68,100.0,20.0,0.0,Sí,41.54,94,21
2026-12-04,15.0,200,500,30,1.0,6096015.13,89.7,23.0,100.8,No,12.41,107,0
2026-12-05,15.0,200,500,30,1.0,236944897.56,78.8,30.0,102.9,No,12.37,118,0
2026-12-06,15.0,200,500,30,1.0,271653948.26,95.7,30.0,12.5,No,13.32,115,0
2026-12-07,15.0,200,500,30,1.0,25266337.83,97.4,25.0,4.1,No,21.37,115,0
2026-12-04,15.0,200,500,30,1.25,6711278.63,91.6,19.0,110.9,No,11.08,107,0
2026-12-05,15.0,200,500,30,1.25,233922892.75,82.2,30.0,123.9,No,11.55,118,0
2026-12-06,15.0,200,500,30,1.25,239013441.5,94.8,30.0,19.5,No,12.76,115,0
2026-12-07,15.0,200,500,30,1.25,32753842.14,96.5,23.0,3.1,No,20.42,115,0
2026-12-04,15.0,200,1000,30,1.0,6096015.13,89.7,23.0,100.8,No,21.58,107,0
2026-12-05,15.0,200,1000,30,1.0,236944897.56,78.8,30.0,102.9,No,21.39,118,0
2026-12-06,15.0,200,1000,30,1.0,271653948.26,95.7,30.0,12.5,No,25.02,115,0
2026-12-07,15.0,200,1000,30,1.0,25266337.83,97.4,25.0,4.1,No,40.09,115,0
2026-12-04,15.0,200,1000,30,1.25,6711278.63,91.6,19.0,110.9,No,20.27,107,0
2026-12-05,15.0,200,1000,30,1.25,233922892.75,82.2,30.0,123.9,No,21.29,118,0
2026-12-06,15.0,200,1000,30,1.25,239013441.5,94.8,30.0,19.5,No,24.36,115,0
2026-12-07,15.0,200,1000,30,1.25,32753842.14,96.5,23.0,3.1,No,38.28,115,0
2026-12-04,15.0,300,500,30,1.0,6929459.18,91.6,23.0,120.9,No,15.9,107,0
2026-12-05,15.0,300,500,30,1.0,243683323.23,78.8,30.0,103.6,No,17.56,118,0
2026-12-06,15.0,300,500,30,1.0,270210784.82,95.7,30.0,13.8,No,18.57,115,0
2026-12-07,15.0,300,500,30,1.0,24347343.69,97.4,26.0,4.1,No,30.22,115,0
2026-12-04,15.0,300,500,30,1.25,5983599.38,91.6,19.0,107.9,No,16.04,107,0
2026-12-05,15.0,300,500,30,1.25,234068850.83,83.1,30.0,127.8,No,17.11,118,0
2026-12-06,15.0,300,500,30,1.25,239567492.71,94.8,30.0,21.8,No,18.37,115,0
2026-12-07,15.0,300,500,30,1.25,25699356.24,97.4,23.0,4.1,No,29.03,115,0
2026-12-04,15.0,300,1000,30,1.0,6929459.18,91.6,23.0,120.9,No,31.72,107,0
2026-12-05,15.0,300,1000,30,1.0,243683323.23,78.8,30.0,103.6,No,31.65,118,0
2026-12-06,15.0,300,1000,30,1.0,270210784.82,95.7,30.0,13.8,No,36.26,115,0
2026-12-07,15.0,300,1000,30,1.0,24347343.69,97.4,26.0,4.1,No,58.54,115,0
2026-12-04,15.0,300,1000,30,1.25,5983599.38,91.6,19.0,107.9,No,30.04,107,0
2026-12-05,15.0,300,1000,30,1.25,234068850.83,83.1,30.0,127.8,No,31.93,118,0
2026-12-06,15.0,300,1000,30,1.25,239302349.15,94.8,30.0,20.5,No,36.03,115,0
2026-12-07,15.0,300,1000,30,1.25,25699356.24,97.4,23.0,4.1,No,55.75,115,0
2026-12-04,30,250,500,30,1.25,5840196.58,90.7,19.0,100.8,No,13.36,107,0
2026-12-04,30,300,500,20,1,5833388.97,93.5,19.0,117.9,No,15.23,107,0
2026-12-05,30,300,500,20,1,235893191.48,80.5,20.0,106.5,No,16.52,118,0
2026-12-06,30,300,500,20,1,258029616.61,94.8,20.0,19.3,No,18.19,115,0
2026-12-07,30,300,500,20,1,27247761.34,97.4,20.0,3.9,No,28.26,115,0
2026-12-04,15,500,500,20,1.25,5154997.64,90.7,19.0,100.1,No,26.09,107,0
2026-12-05,15,500,500,20,1.25,221569412.7,83.1,20.0,128.3,No,25.18,118,0
2026-12-06,15,500,500,20,1.25,225834181.06,94.8,20.0,17.3,No,24.62,115,0
2026-12-07,15,500,500,20,1.25,27030164.45,97.4,20.0,4.1,No,47.49,115,0
2026-12-04,15,1000,600,20,1,6502046.47,91.6,20.0,119.7,No,11.09,107,0
2026-12-05,15,1000,600,20,1,235817560.0,79.7,20.0,111.4,No,10.0,118,0
2026-12-04,15,1500,2000,20,1,5991452.22,91.6,20.0,119.3,No,11.39,107,0
2026-12-05,15,1500,2000,20,1,235519294.11,81.4,20.0,114.3,No,11.28,118,0
2026-12-06,15,1500,2000,20,1,268834220.39,95.7,20.0,12.3,No,10.48,115,0
2026-12-07,15,1500,2000,20,1,18359641.69,97.4,20.0,4.1,No,20.73,115,0
2026-12-04,15,1500,2000,20,1,2847218.81,64.5,20.0,75.7,No,16.84,107,0
2026-12-04,15,1500,2000,20,1,2844991.08,91.6,20.0,177.7,No,13.53,107,0
2026-12-05,15,1500,2000,20,1,3091820.83,89.0,20.0,169.0,No,14.2,118,0
2026-12-06,15,1500,2000,20,1,2877833.4,100.0,20.0,0.0,Sí,14.4,115,0
2026-12-07,15,1500,2000,20,1,3636784.33,98.3,20.0,0.9,No,25.5,115,0
2026-12-04,25,1500,2500,20,1,2841844.39,91.6,20.0,177.1,No,13.51,107,0
2026-12-05,25,1500,2500,20,1,6500359.3,88.1,20.0,145.8,No,14.38,118,0
2026-12-06,25,1500,2500,20,1,3647876.42,100.0,20.0,0.0,Sí,13.98,115,0
2026-12-07,25,1500,2500,20,1,3656499.6,98.3,20.0,0.9,No,25.4,115,0
2026-12-04,30,1500,2500,20,1,2828812.24,91.6,20.0,177.9,No,13.39,107,0
2026-12-05,30,1500,2500,20,1,6494777.81,88.1,20.0,146.9,No,14.57,118,0
2026-12-06,30,1500,2500,20,1,3647556.07,100.0,20.0,0.0,Sí,13.87,115,0
2026-12-07,30,1500,2500,20,1,3595464.81,98.3,20.0,0.9,No,25.23,115,0
